535,agent-paused,エージェント、ポーズ
536,agent-unpaused,エージェント、ポーズ解除
537,conf-adminmenu-18-no5,"ミュートまたはミュート解除するには1を、会議をロックまたはロック解除するには2を、直近の参加者を会議から退出させるには3を、会議の音量を下げるには4を、会議の音量を上げるには6を。自分の音量を下げるには7を、自分の音量を上げるには9を押してください。"
538,conference-password-mono,会議のパスワードをお持ちの方は、今すぐご入力ください。 そうでない場合は、シャープを押すか、そのままお待ちください。
539,conf-invitation-sending,招待状が送信されました。招待者が返信するまでお待ちください。
540,conf-invite,招待したい番号にダイヤルしてください。
541,dictate/unpaused,ポーズ解除
542,line-busy-transfer-menu,ダイヤルされた電話番号は、現在話し中または使用できません。 電話を切っていただくか、そのままお待ちください。
543,static-agent-cant-logout,固定エージェントをログアウトすることはできません。
544,user-been-muted,ミュートされています。
545,user-been-unmuted,ミュートが解除されました。
546,vm-minimum-duration,"申し訳ありませんが、録音時間は設定より長くなければなりません。"
547,welcome,ようこそ。
548,dialog-being-recorded,この通話は録音中です。
549,dialog-stop-recording,この通話は録音されなくなりました。
550,queue-no-agent-available,エージェントがいません。
551,dir-first-by-pound,"タッチトーン・キーパッドで、姓の最初の3文字以上を入力し、その後にシャープを押してください。"
552,dir-last-by-pound,"パーティーの姓の最初の3文字以上を入力し、続けてタッチトーン・キーパッドでシャープを押してください。"
553,dir-firstlast-by-pound,"パーティーの姓または名の最初の3文字以上を入力し、続けてタッチトーン・キーパッドでシャープを押してください。"
554,your-busy-camp-on-requested,ビジーキャンプオンがリクエストされました。
555,your-busy-camp-on-cancelled,通話中のキャンプオンはキャンセルされました。
556,you-are-calling-from-busy-camp-on,通話中のキャンプオンから発信しています。
557,conf-has-not-started,会議が開始されていません。
558,conf-will-end-in,会議が終了します。
559,this-call-will-be-monitored,この通話はモニターされます。
560,callback-options,"これはコールバックです。いずれかのキーを押して着信に応答してください。"
561,callback-cannot-callback,"これはコールバックです、かけ直すことはできません。"
562,this-user-not-permission,このユーザーには権限がありません。
563,schedule-conference-kickall,"会議室が予約されましたので、5分後にメンバー全員が強制退出されます。"
564,schedule-conference-lock,"会議室は予約済みです、さようなら。"
565,schedule-conference-found,"これは予約された会議です、あなたは会議に招待されています、会議に入るには1を、退出するには2を押してください。"
566,schedule-conference-cancel,"招待客の人数が会議室の定員を超えました、会議はキャンセルされます、お疲れ様でした。"
567,agent-not-exist,エージェントが存在しません。
568,pls-wait-connect-call,"接続中です。"
569,queue-voice-prompt.,"すべてのエージェントがビジー状態です。そのままお待ちいただくか、1を押して終了してください。"
570,pms-set-room-status,"部屋の清掃サービスは2を、部屋の修理サービスは3を、清掃または修理は1を押してください。"
571,set-success,セット成功
572,can-not-set,設定できません。
573,minibar-pls-enter-the-waiter-id-and-password,"ミニバーへようこそ、ウェイターIDとパスワードをスターで区切って入力してください、終了するにはシャープを押してください。"
574,minibar-multiple-goods-billing-successs,複数商品の請求が成功しました。
575,minibar-multiple-goods-billing-failure,複数商品の課金に失敗しました。
576,minibar-enter-the-waiter-id-or-password-error-please-try-again,"入力されたウェイターIDまたはパスワードが間違っています。"
577,enter-wakeup-set,起床設定を入力してください。
578,enter-the-error-for-three-times,入力が3回間違っています。
579,press-one-to-add-wakeup-service,目覚ましサービスを追加するには１を押してください。
580,press-two-to-modify-wakeup-service,目覚ましサービスを変更するには、2を押してください。
581,press-three-to-open-wakeup-service,目覚ましサービスが有効にするには3を押してください。
582,press-four-to-close-wakeup-service,目覚ましサービスが無効にするには3を押してください。
583,press-zero-to-exit,終了するにはゼロを押してください。
584,please-enter-year,ねんの後に続けてシャープを入力してください。
585,please-enter-month,つきの後にシャープを押してください。
586,please-enter-day,シャープの後に「にち」を入力してください。
587,please-enter-hour,シャープに続けて「じ」を入力してください。
588,please-enter-minute,ふんの後にシャープを押してください。
589,please-press-one-to-open-wakeup-service-and-press-zero-to-close-wakeup-service,目覚ましサービスを有効にするには1を、無効にするには0を押してください。
590,please-press-one-to-set-single-wakeup-and-press-two-to-set-daily-wakeup,1回目覚ましを設定するには1を、毎日目覚ましを設定するには2を押してください。
591,please-press-three-to-modify-date,日付を変更するには3を押してください。
592,please-press-four-to-modify-time,時刻を変更するには4を押してください。
593,press-one-to-confirm-add-wakeup-service,を押して目覚ましサービスの追加を確認します。
594,set-date,日付を設定してください。
595,set-time,時間を設定してください。
596,set-effective,有効を設定します。
597,set-invalid,無効を設定します。
598,set-failture,失敗
599,the-extension-is-not-used-for-hotel,この拡張機能はホテルでは使用されません。設定権限がありません。さようなら！
600,there-is-an-error-code-in-the-continuous-billing-code,入力されたコードが間違っています。もう一度入力してください。
601,you-have-wakeup-service,目覚ましサービスがあります。
602,you-do-not-have-wakeup-service,目覚ましサービスがありません。
603,you-have-multiple-wake-up-services,複数の目覚ましサービスを持っています。
604,you-have-no-permission,権限がありません。
605,please-input-transfer-number,転送番号を入力してください。
606,dest-has-been-deleted,転送先が削除されました。
607,virtualqueue-enter-error,入力ミス
608,virtualqueue-greeting,"現在の番号にかけ直す場合はスター、新しいコールバック番号を設定する場合はゼロキー、待機を続ける場合はシャープを押してください。"
609,virtualqueue-member-call-failure,"通話に失敗しました！"
610,virtualqueue-member-greeting,"これはバーチャル待機中のコールバック・コールです。"
611,virtualqueue-modify-number,"コールバック番号を入力してください。"
612,virtualqueue-number-confirm-new,"シャープを押して確定し、スターを押してもう一度入力します。"
613,virtualqueue-number-confirm-origin,"シャープを押して確定し、スターを押してもう一度聞いてください。"
614,virtualqueue-number-is,コールバック番号は
615,virtualqueue-thanks-contact-later,"ありがとうございました。"
616,set-presence-status,"SIPプレゼンス設定の状態を入力ください、利用できない状態を設定するには1を、利用可能な状態を設定するには2を、離席状態を設定するには3を、チャット状態を設定するには4を、DND状態を設定するには5を、カスタム状態を設定するには6を押してください。"
617,sip-trunk-out-rejected,"サーバーによって通話が拒否されました。"
618,sip-trunk-out-server-error,"サーバーエラーです。"
619,sip-trunk-out-busy,"すべての回線が使用中です。"
620,sip-trunk-out-wrong-number,"番号をお確かめの上、再度お掛け直しください。"
621,limit-maximum-number,目覚ましサービスの上限数に達しました。これ以上目覚ましサービスを追加できません。
622,agent-does-not-exist,エージェントが存在しません。
623,the-waiter-ID-does-not-exist,"ウェイターIDが存在しません"
624,agent-login-limit,エージェントの数が上限に達しました。後でもう一度お試しください。
625,conf-continue-wait,待機を続けるには1を押してください。他のキーを押して、ミーティングを終了してください。
626,confbridge-conf-begin,会議が始まります。
627,no-answer,ダイヤルした番号は応答していません。後でもう一度おかけ直しください。
628,no-permission,この番号にはダイヤルできません。
629,user-busy,ダイヤルした番号は話し中です。後ほどおかけ直しください。
630,wrong-number,"ダイヤルされた番号が正しくありません。番号をお確かめの上、再度ダイヤルしてください。"
631,ec-notify-from,緊急電話です。
632,ec-dial-number,緊急サービス番号にダイヤルする
633,welcome-to-minibar,ミニバーへようこそ 。
634,choose-vm-mode,"メッセージを残すには1を、ボイスメール管理に入るには2を押してください。"
635,done-hangup-or-into-advance-menu,"終わったら、電話を切るか、シャープを押して、さらにオプションを選びます。"
636,press-1-or-2-to-destination,トランクのデフォルトの宛先には1を押します。2を押すと、以前にあなたに電話をかけた番号に電話をかけます。
637,Press-invalid,無効な番号
638,vm-group,ボイスメールグループ
639,pm-option-invalid-bye,そのオプションは無効です。さようなら
640,inbound_route,インバウンドルート
641,set_mode_default,デフォルトモードに設定
642,set_mode_one,モード1に設定
643,set-to-mode,モードに設定
644,global,グローバル
